Market,Agency__c,Forecast_Month__c,Forecast_Year__c,Forecast__c,CurrencyIsoCode,Forecast_Type__c,Forecast_Quarter__c,Business_Unit__c,Forecast_Level__c,Id
United States,a00i000000SVQyAAAX,Mar,2016,8970962301,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjREAT
United States,a00i000000SVQyAAAX,May,2016,572691214,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGviBEAT
United States,a00i000000SVQyAAAX,May,2016,5794320028,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjTEAT
United States,a00i000000SVQyAAAX,Nov,2016,440002899,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGviHEAT
United States,a00i000000SVQyAAAX,Nov,2016,262724143,USD,Cartesis,Q3RF 2016,plista,Market,a0M3100000GGvj1EAD
United States,a00i000000SVQyAAAX,Nov,2016,5590623000,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjeEAD
United States,a00i000000SVQyAAAX,Oct,2016,509781428,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGviGEAT
United States,a00i000000SVQyAAAX,Oct,2016,380929600,USD,Cartesis,Q3RF 2016,plista,Market,a0M3100000GGvj0EAD
United States,a00i000000SVQyAAAX,Oct,2016,6897064000,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjdEAD
United States,a00i000000SVQyAAAX,Sep,2016,700305452,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGviFEAT
United States,a00i000000SVQyAAAX,Sep,2016,439884996,USD,Cartesis,Q3RF 2016,plista,Market,a0M3100000GGvizEAD
United States,a00i000000SVQyAAAX,Sep,2016,7388027356,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjcEAD
United States,a00i000000SVR8tAAH,Apr,2016,1020245903,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGviMEAT
United States,a00i000000SVR8tAAH,Apr,2016,4507769452,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjjEAD
United States,a00i000000SVR8tAAH,Aug,2016,1167425888,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGviQEAT
United States,a00i000000SVR8tAAH,Aug,2016,30483449,USD,Cartesis,Q3RF 2016,plista,Market,a0M3100000GGvj3EAD
United States,a00i000000SVR8tAAH,Aug,2016,4865612281,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjnEAD
United States,a00i000000SVR8tAAH,Dec,2016,800388230,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGviZEAT
United States,a00i000000SVR8tAAH,Dec,2016,4139642938,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjrEAD
United States,a00i000000SVR8tAAH,Feb,2016,495594480,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGviKEAT
United States,a00i000000SVR8tAAH,Feb,2016,3819610569,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjhEAD
United States,a00i000000SVR8tAAH,Jan,2016,436649000,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGviJEAT
United States,a00i000000SVR8tAAH,Jan,2016,2016145779,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjgEAD
United States,a00i000000SVR8tAAH,Jul,2016,807322788,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGviPEAT
United States,a00i000000SVR8tAAH,Jul,2016,5103102604,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjmEAD
United States,a00i000000SVR8tAAH,Jun,2016,782990721,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGviOEAT
United States,a00i000000SVR8tAAH,Jun,2016,5055363912,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjlEAD
United States,a00i000000SVR8tAAH,Mar,2016,957390568,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGviLEAT
United States,a00i000000SVR8tAAH,Mar,2016,4821917095,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjiEAD
United States,a00i000000SVR8tAAH,May,2016,1011220188,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGviNEAT
United States,a00i000000SVR8tAAH,May,2016,5939141276,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjkEAD
United States,a00i000000SVR8tAAH,Nov,2016,910388230,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGviYEAT
United States,a00i000000SVR8tAAH,Nov,2016,3895000000,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjqEAD
United States,a00i000000SVR8tAAH,Oct,2016,685388230,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGviXEAT
United States,a00i000000SVR8tAAH,Oct,2016,3717085625,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjpEAD
United States,a00i000000SVR8tAAH,Sep,2016,443399965,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGviWEAT
United States,a00i000000SVR8tAAH,Sep,2016,264428100,USD,Cartesis,Q3RF 2016,plista,Market,a0M3100000GGvj4EAD
United States,a00i000000SVR8tAAH,Sep,2016,4806093916,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjoEAD
United States,a00i000000SVR9NAAX,Apr,2016,330217250,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGvidEAD
United States,a00i000000SVR9NAAX,Apr,2016,2870150035,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjvEAD
United States,a00i000000SVR9NAAX,Aug,2016,240187858,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGvihEAD
United States,a00i000000SVR9NAAX,Aug,2016,72181208,USD,Cartesis,Q3RF 2016,plista,Market,a0M3100000GGvj6EAD
United States,a00i000000SVR9NAAX,Aug,2016,2825943781,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjzEAD
United States,a00i000000SVR9NAAX,Dec,2016,260413758,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGvilEAD
United States,a00i000000SVR9NAAX,Dec,2016,39973360,USD,Cartesis,Q3RF 2016,plista,Market,a0M3100000GGvjAEAT
