Market,Agency__c,Forecast_Month__c,Forecast_Year__c,Forecast__c,CurrencyIsoCode,Forecast_Type__c,Forecast_Quarter__c,Business_Unit__c,Forecast_Level__c,Id,Name
United States,a00i000000SVQyAAAX,Oct,2016,509781.4,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGviGEAT,FR-23692
United States,a00i000000SVQyAAAX,Oct,2016,380929.6,USD,Cartesis,Q3RF 2016,plista,Market,a0M3100000GGvj0EAD,FR-23733
United States,a00i000000SVQyAAAX,Oct,2016,6897064,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjdEAD,FR-23767
United States,a00i000000SVQyAAAX,Sep,2016,700305.5,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGviFEAT,FR-23691
United States,a00i000000SVQyAAAX,Sep,2016,439885,USD,Cartesis,Q3RF 2016,plista,Market,a0M3100000GGvizEAD,FR-23732
United States,a00i000000SVQyAAAX,Sep,2016,7346054,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjcEAD,FR-23766
United States,a00i000000SVR8tAAH,Apr,2016,1020246,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGviMEAT,FR-23698
United States,a00i000000SVR8tAAH,Apr,2016,4507663,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjjEAD,FR-23773
United States,a00i000000SVR8tAAH,Aug,2016,1167426,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGviQEAT,FR-23702
United States,a00i000000SVR8tAAH,Aug,2016,30483.45,USD,Cartesis,Q3RF 2016,plista,Market,a0M3100000GGvj3EAD,FR-23736
United States,a00i000000SVR8tAAH,Aug,2016,4865612,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjnEAD,FR-23777
United States,a00i000000SVR8tAAH,Dec,2016,800388.2,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGviZEAT,FR-23706
United States,a00i000000SVR8tAAH,Dec,2016,4139643,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjrEAD,FR-23781
United States,a00i000000SVR8tAAH,Feb,2016,495594.5,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGviKEAT,FR-23696
