Market,Agency__c,Forecast_Month__c,Forecast_Year__c,Forecast__c,CurrencyIsoCode,Forecast_Type__c,Forecast_Quarter__c,Business_Unit__c,Forecast_Level__c
United States,a00i000000SVQyAAAX,Aug,2016,82429069,USD,Cartesis,Q3RF 2016,plista,Market
United States,a00i000000SVQyAAAX,Sep,2016,439884996,USD,Cartesis,Q3RF 2016,plista,Market
United States,a00i000000SVQyAAAX,Oct,2016,380929600,USD,Cartesis,Q3RF 2016,plista,Market
United States,a00i000000SVQyAAAX,Nov,2016,262724143,USD,Cartesis,Q3RF 2016,plista,Market
United States,a00i000000SVQyAAAX,Dec,2016,92143600,USD,Cartesis,Q3RF 2016,plista,Market
United States,a00i000000SVR8tAAH,Aug,2016,30483449,USD,Cartesis,Q3RF 2016,plista,Market
United States,a00i000000SVR8tAAH,Sep,2016,264428100,USD,Cartesis,Q3RF 2016,plista,Market
United States,a00i000000SVR9NAAX,Jul,2016,109737662,USD,Cartesis,Q3RF 2016,plista,Market
United States,a00i000000SVR9NAAX,Aug,2016,72181208,USD,Cartesis,Q3RF 2016,plista,Market
United States,a00i000000SVR9NAAX,Sep,2016,10969910,USD,Cartesis,Q3RF 2016,plista,Market
United States,a00i000000SVR9NAAX,Oct,2016,37613199,USD,Cartesis,Q3RF 2016,plista,Market
United States,a00i000000SVR9NAAX,Nov,2016,54171000,USD,Cartesis,Q3RF 2016,plista,Market
United States,a00i000000SVR9NAAX,Dec,2016,39973360,USD,Cartesis,Q3RF 2016,plista,Market
United States,a00i000000SVR9XAAX,Aug,2016,4615400,USD,Cartesis,Q3RF 2016,plista,Market
United States,a00i000000SVR9XAAX,Sep,2016,237517908,USD,Cartesis,Q3RF 2016,plista,Market
United States,a00i000000ayOYjAAM,Jan,2016,4091970000,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000ayOYjAAM,Feb,2016,4493380619,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000ayOYjAAM,Mar,2016,10570288924,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000ayOYjAAM,Apr,2016,11511285015,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000ayOYjAAM,May,2016,12102795833,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000ayOYjAAM,Jun,2016,10814401633,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000ayOYjAAM,Jul,2016,8255180133,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000ayOYjAAM,Aug,2016,10119081338,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000ayOYjAAM,Sep,2016,9357519678,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000ayOYjAAM,Oct,2016,9705740000,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000ayOYjAAM,Nov,2016,11091650000,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000ayOYjAAM,Dec,2016,11053550160,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000SVQyAAAX,Jan,2016,4175373566,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000SVQyAAAX,Feb,2016,5509206562,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000SVQyAAAX,Mar,2016,8970962301,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000SVQyAAAX,Apr,2016,5083225817,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000SVQyAAAX,May,2016,5794320028,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000SVQyAAAX,Jun,2016,5832718133,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000SVQyAAAX,Jul,2016,5752699979,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000SVQyAAAX,Aug,2016,6567171455,USD,Cartesis,Q3RF 2016,Xaxis,Market
