External_ID__c,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,RecordTypeId,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Opp_Buy_Description__c,Rate__c,Buy_Type__c,Frequency_Cap__c,Frequency_Scope__c,Id,Special_Product__c,Target_Age_Freeform_Entry__c,Target_Gender__c
Netherlands Reference number: 20160137,"Mar 29, 2016","Apr 15, 2016",8750,MEC-106034-2016-0391 -- 2016.BOL.WMAR.DL.ONL-1.0,Net Cost (Calc Margin),012i0000001EB0nAAG,3500000,0,Externally Managed,"(ma t/m vrij: 7.00- 9.30 en 16.30 – 19.00). egionale targeting inzetten op basis van GPS in de buurt van stations en OV knooppunten straal van 1000 meter. Uitlevering in portals waar volume piekt, zoals nieuws, weer, verkeer, entertainment (eventueel social media kanalen). cap 5 over de formaten heen",2.5,CPM,5,Per campaign,0063100000fJYkWAAW,Mobile - Standard,None,
Netherlands Reference number: 20160238,"Apr 18, 2016","May 22, 2016",18333.33,Jaguar_XE_Online_April_Mei_2016,Net Cost (Calc Margin),012i0000001EB0nAAG,1222222,0,Externally Managed,"Graag 2 line items opzetten: 1) Turbine segment Business en Automotive_Luxury en 2) Mannen 30-50 jaar. Hoogste prioriteit gaat uit naar line item 1. De verwachting is dat we te weinig users terugvinden, vandaar toevoeging line item 2. : Business en Automotive_Luxury",15,CPM,4,Per campaign,0063100000fJYkxAAG,Display - Billboard Ad,30-50,Male
Netherlands Reference number: 20160135,"Mar 26, 2016","Apr 22, 2016",92651.47,"Doelgroep mag in overleg verbreed worden(ze willen zich voornamelijk op lezers richten). Sturen in contactklassen 3-5, minimaal 50% bereik in doelgroep. + houdt rekening met de viewability (ahold policy)",Net Cost (Calc Margin),012i0000001EB0nAAG,6617962,0,Externally Managed,,14,CPM,5,Per campaign,0063100000fJYkXAAW,Display - Frequency booster,35-45,
Netherlands Reference number: 20150777,"Dec 21, 2015","Jan 1, 2016",5897.81,KeukenConcurrent week 52-53,Net Cost (Calc Margin),012i0000001EB0nAAG,436875,0,Externally Managed,,13.5,CPM,3,Per campaign,0063100000fJYkyAAG,Xaxis TV,20-34,
Netherlands Reference number: 20160254,"Apr 25, 2016","May 8, 2016",5087.25,04 mei: Smartphone (web) is geactiveerd voor het Hemelvaart weekend.,Net Cost (Calc Margin),012i0000001EB0nAAG,376833,0,Externally Managed,,13.5,CPM,2,Per campaign,0063100000fJYkYAAW,Video - Preroll 20s,20-34,
Netherlands Reference number: 20150791,"Dec 27, 2015","Jan 2, 2016",4282.36,Start 27 december na 18:00 t/m 2 januari 19:00,Net Cost (Calc Margin),012i0000001EB0nAAG,317212,0,Externally Managed,,13.5,CPM,3,Per campaign,0063100000fJYkzAAG,Xaxis TV,20-49,Female
Netherlands Reference number: 20160306,"May 23, 2016","Jun 2, 2016",20568.03,Desktop en Mobile - 20 sec - CAP 1 per device - 20-49. Desktop cap 2 en Mobiel in-app cap 1.,Net Cost (Calc Margin),012i0000001EB0nAAG,1645442,0,Externally Managed,,12.5,CPM,1,Per campaign,0063100000fJYkZAAW,Video - Preroll 20s,20-49,
Netherlands Reference number: 20160316,"May 17, 2016","Jun 5, 2016",2931.84,MAX-118157-2016-0232 -- TOMY TOYS OLV,Net Cost (Calc Margin),012i0000001EB0nAAG,217173,0,Externally Managed,,13.5,CPM,3,Per campaign,0063100000fJYl0AAG,Video - Preroll 20s,,
Netherlands Reference number: 20160317,"Jun 20, 2016","Jul 10, 2016",2931.84,MAX-118157-2016-0232 -- TOMY TOYS OLV,Net Cost (Calc Margin),012i0000001EB0nAAG,217173,0,Externally Managed,,13.5,CPM,4,Per campaign,0063100000fJYl0AAG,Video - Preroll 20s,,
Netherlands Reference number: 20160174,"Mar 21, 2016","Apr 10, 2016",18025.88,2016.WILKINSON.HYDROSILK.0304.VOD-1.0,Net Cost (Calc Margin),012i0000001EB0nAAG,1335250,0,Externally Managed,,13.5,CPM,3,Per campaign,0063100000fJYl1AAG,Video - Preroll 20s,20-34,Female
