Opportunity__c,External_ID__c,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,RecordTypeId,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Opp_Buy_Description__c,Rate__c,Buy_Type__c,Frequency_Cap__c,Frequency_Scope__c,Special_Product__c,Target_Age_Freeform_Entry__c,Target_Gender__c
0063100000fJYbeAAG,Netherlands: 20160112,"Feb 22, 2016","Mar 13, 2016",2624.79,MCM-113554-2016-0204 -- 2016-02 Activia AV Challenge,Net Cost (Calc Margin),012i0000001EB0nAAG,194429,0,Externally Managed,,13.5,CPM,3,Per campaign,Video - Preroll 20s,25-40,Female
0063100000fJYb4AAG,Netherlands: 20150761,"Dec 14, 2015","Dec 31, 2015",5894.79,Turbine pixel op click. Tags+materiaal gebruiken van Flight 1 (20150759).,Net Cost (Calc Margin),012i0000001EB0nAAG,982465,0,Externally Managed,,6,CPM,3,Per campaign,Xaxis Mobile,18-35,
0063100000fJYauAAG,Netherlands: 20160375,"Jun 2, 2016","Jun 30, 2016",11483.06,Twee inzetten: 1) Retargeting op de plista video engagements Cap 1. 2) Demogragische targeting: 30-55 + Turbine Business & automotive_luxury Cap 1. Light reaction gaat retargeten op de SKIN users. GEPL volgt nog : Turbine Business & Automotive_Luxury,Net Cost (Calc Margin),012i0000001EB0nAAG,656175,0,Externally Managed,,17.5,CPM,2,Per campaign,Rich Media - Skin,30-55,
0063100000fJYbaAAG,Netherlands: 20160086,"Jan 26, 2016","Feb 28, 2016",11327.5,"Mochten er problemen zijn met uitleveren, dan is het mogelijk om tech sites toe te voegen. Mochten er daarna nog steeds problemen zijn met uitleveren, dan mogen entertainment sites worden toegevoegd. Let op: Smartphone pre-roll 15:"".",Net Cost (Calc Margin),012i0000001EB0nAAG,985000,0,Externally Managed,,11.5,CPM,3,Per campaign,Mobile - Video,18-34,Male
0063100000fJYihAAG,Netherlands: 20160405,"Jul 4, 2016","Jul 31, 2016",19039.16,30 sec video 22-7 met een week verlengd,Net Cost (Calc Margin),012i0000001EB0nAAG,1269277,0,Externally Managed,,15,CPM,3,Per campaign,Video - Preroll 30s,25-45,
0063100000fJYb9AAG,Netherlands: 20160233,"Apr 14, 2016","May 8, 2016",6000,MAX-128858-2016-0171 -- Zalando OLV - NL-BE - Apr May 2016 - NL inzet,Net Cost (Calc Margin),012i0000001EB0nAAG,400000,0,Externally Managed,"Graag de eerste week 250.000 impressies inzetten. De resterende 150.000 impressies gelijkwaardig verdelen over de weken. Graag een pixel plaatsen op click en op view, Light Reaction gaat deze pool gebruiken voor verdere inzet. De hosting van de video vindt plaats in het Xaxis account. De trackers van Zalando worden verwerkt door GroupM Traffic tezamen met de trackers van Maxus-Helder.  Xaxis plaatst dan weer de trackers van GroupM in het Xaxis account zodat alle 3 de partijen mee kunnen meten.",15,CPM,3,Per campaign,Video - Preroll 30s,20-39,Female
0063100000fJYbUAAW,Netherlands: 20160259,"Oct 3, 2016","Oct 22, 2016",9999.99,MAX-99572-2016-0192 -- Karcher Window Vac Display - Apr-Oct 2016,Net Cost (Calc Margin),012i0000001EB0nAAG,714285,0,Externally Managed,,14,CPM,3,Per campaign,Display - Frequency booster,20-49,Female
0063100000fJYiJAAW,Netherlands: 20160103,"Mar 7, 2016","Mar 25, 2016",2749.75,Targeting op 40-65 jaar in de provincie Groningen en Drenthe,Net Cost (Calc Margin),012i0000001EB0nAAG,999909,0,Externally Managed,,2.75,CPM,7,Per campaign,Display - Standard,40-65,
0063100000fJYamAAG,Netherlands: 20160334,"May 31, 2016","Jun 25, 2016",11582.1,GAMMA_OLV_Prijscampagne_week 22-25,Net Cost (Calc Margin),012i0000001EB0nAAG,857933,0,Externally Managed,Mobiele web is toegevoegd. Doelgroep kan niet worden verbreed. 20-05: Vanwege langer doorlopen van de 20160293 campagne (van 16 t/m 18 mei) wordt een compensatie van 150.000 impressies ingezet tijdens deze thema campagne in mei-juni. Na 18:00 starten met de campagne,13.5,CPM,3,Per campaign,Video - Preroll 20s,25-35,
0063100000fJYaQAAW,Netherlands: 20160409,"Jul 21, 2016","Aug 2, 2016",6600.24,2016-06 HM 1236 Sport For every victory Jul-Aug,Net Cost (Calc Margin),012i0000001EB0nAAG,488907,0,Externally Managed,,13.5,CPM,3,Per campaign,Video - Preroll 20s,20-34,Female
0063100000fJYbEAAW,Netherlands: 20160045,"Feb 8, 2016","Mar 22, 2016",33898.85,uitsluiten week 9.,Net Cost (Calc Margin),012i0000001EB0nAAG,2511026,0,Externally Managed,,13.5,CPM,3,Per campaign,Video - Preroll 20s,20-49,Female
0063100000fJYaWAAW,Netherlands: 20150842,"Dec 15, 2015","Jan 30, 2016",10383.6,Campagnes HPA & BB koppelen in Bright,Net Cost (Calc Margin),012i0000001EB0nAAG,692240,0,Externally Managed,,15,CPM,3,Per campaign,Xaxis Display,30-55,
0063100000fJYimAAG,Netherlands: 20160012,"Jan 4, 2016","Jan 31, 2016",33530.13,2016.IKEA.NEW.LIGHTING.01.OLV.-1.0,Net Cost (Calc Margin),012i0000001EB0nAAG,2483713,0,Externally Managed,,13.5,CPM,3,Per campaign,Video - Preroll 20s,20-34,Female
0063100000fJYarAAG,Netherlands: 20160359,"May 20, 2016","Jun 30, 2016",6797.86,Verlenging is niet mogelijk. : Business_Entrepreneurs,Net Cost (Calc Margin),012i0000001EB0nAAG,388449,0,Externally Managed,,17.5,CPM,3,Per campaign,Rich Media - Skin,None,
