Opportunity__c,External_ID__c,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,RecordTypeId,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Opp_Buy_Description__c,Rate__c,Buy_Type__c,Frequency_Cap__c,Frequency_Scope__c,Special_Product__c,Target_Age_Freeform_Entry__c,Target_Gender__c
0063100000fJjArAAK,Netherlands: 20160098,"Feb 15, 2016","Feb 28, 2016",12147.34,OLV Ecosport-Februari_2016,Net Cost (Calc Margin),012i0000001EB0nAAG,899803,0,Externally Managed,,13.5,CPM,3,Per campaign,Video - Preroll 20s,25-45,
0063100000fJjCVAA0,Netherlands: 20160159,"Mar 20, 2016","Mar 27, 2016",9645.9,Doelgroep kan niet verbreed worden en looptijd kan niet langer.,Net Cost (Calc Margin),012i0000001EB0nAAG,714511,0,Externally Managed,,13.5,CPM,3,Per campaign,Video - Preroll 20s,25-35,
0063100000fJjASAA0,Netherlands: 20150780,"Nov 18, 2015","Mar 6, 2016",9660.5,Frank -> briefing Suzanne. Retargeting preroll non-viewers.,Net Cost (Calc Margin),012i0000001EB0nAAG,690036,0,Externally Managed,,14,CPM,2,Per campaign,Xaxis Display,18-34,
0063100000fJjCiAAK,Netherlands: 20160123,"Mar 7, 2016","Mar 27, 2016",1720.72,MAX-128395-2016-0061 -- VARILUX,Net Cost (Calc Margin),012i0000001EB0nAAG,127461,0,Externally Managed,,13.5,CPM,3,Per campaign,Video - Preroll 20s,50+,
0063100000fJjA6AAK,Netherlands: 20160051,"Feb 8, 2016","Feb 28, 2016",11615.24,Doelgroep is opgevraagd bij Boris door Martina,Net Cost (Calc Margin),012i0000001EB0nAAG,829660,0,Externally Managed,,14,CPM,3,Per campaign,Display - Frequency booster,20-50,Female
0063100000fJj9FAAS,Netherlands: 20160284,"Apr 28, 2016","May 18, 2016",10380.53,MAX-79995-2016-0210 -- Fiat Holiday edition,Net Cost (Calc Margin),012i0000001EB0nAAG,768928,0,Externally Managed,,13.5,CPM,3,Per campaign,Video - Preroll 20s,25-54,
0063100000fJjAaAAK,Netherlands: 20160125,"Apr 18, 2016","Apr 29, 2016",1201.2,Uitlevering desktop + tablet doelgroep vrouwen stad Utrecht (straal 15km),Net Cost (Calc Margin),012i0000001EB0nAAG,436800,0,Externally Managed,,2.75,CPM,7,Per campaign,Display - Standard,25-65,Female
0063100000fJj9rAAC,Netherlands: 20160049,"Jan 15, 2016","Feb 1, 2016",9227.32,Doelgroep is opgevraagd bij Boris door Martina,Net Cost (Calc Margin),012i0000001EB0nAAG,683505,0,Externally Managed,,13.5,CPM,3,Per campaign,Video - Preroll 20s,20-50,Female
0063100000fJjBeAAK,Netherlands: 20160117,"Mar 21, 2016","Apr 24, 2016",15000,2016.ETOS.LOYALTY.ONL-1.0,Net Cost (Calc Margin),012i0000001EB0nAAG,2500000,0,Externally Managed,"Targeting breed op vrouwen channels- denk bijvoorbeeld aan de segmenten lifestyle, nieuws en entertainment waar die vrouwenchannels zich in bevinden. Enkel in-app uitleveren. 07-04: De cap voor de HPA is aangepast van 5 per maand naar 3 per maand. Waarbij na het 3e contact retargetig plaats vindt vanuit de kleine formaten. 13-4: Campagneperiode is verlengd. Graag compensatie inboeken: 500.000 impressies.",6,CPM,3,Per campaign,Mobile - Halfpage ad,,Female
0063100000fJjAMAA0,Netherlands: 20160035,"Jan 1, 2016","Mar 31, 2016",59080,Turbine pixels op Volvo site plaatsen per type. Er volgt een lijst van Thomas. Gebruikers op landingspagina uitsluiten (clickers). : Autmotive,Net Cost (Calc Margin),012i0000001EB0nAAG,4220000,0,Externally Managed,,14,CPM,,,Display - Frequency booster,,
0063100000fJjAxAAK,Netherlands: 20160009,"Jan 11, 2016","Feb 7, 2016",28044.93,CX3 OLV Januari,Net Cost (Calc Margin),012i0000001EB0nAAG,2077402,0,Externally Managed,,13.5,CPM,3,Per campaign,Video - Preroll 20s,35-54,Male
0063100000fJjAGAA0,Netherlands: 20160413,"Jul 1, 2016","Aug 31, 2016",10000,"Doelgroep is man 20-70 en vrouw 29-49. Er moeten dus twee campagnes onder de Line Items opgezet worden. Impressies mogen 50/50 ingezet worden. : Family & Parenting, Home & Garden, Food&Drink_Barbecues & Grilling",Net Cost (Calc Margin),012i0000001EB0nAAG,740741,0,Externally Managed,,13.5,CPM,3,Per campaign,Video - Preroll 20s,,
0063100000fJjARAA0,Netherlands: 20150781,"Nov 18, 2015","Mar 6, 2016",4967.3,Frank -> briefing Suzanne. Retargeting high impact viewers,Net Cost (Calc Margin),012i0000001EB0nAAG,1806290,0,Externally Managed,,2.75,CPM,3,Per campaign,Xaxis Display,18-34,
0063100000fJj9sAAC,Netherlands: 20160050,"Jan 15, 2016","Feb 1, 2016",11615.24,Doelgroep is opgevraagd bij Boris door Martina,Net Cost (Calc Margin),012i0000001EB0nAAG,829660,0,Externally Managed,,14,CPM,3,Per campaign,Display - Frequency booster,20-50,Female
0063100000fJjB6AAK,Netherlands: 20150807,"Nov 20, 2015","Jan 3, 2016",16100,Week 50 uitsluiten met eerste contacten bereiken. Enkel retargeting.,Net Cost (Calc Margin),012i0000001EB0nAAG,1400000,0,Externally Managed,,11.5,CPM,3,Per campaign,Xaxis TV,18-30,
0063100000fJjA3AAK,Netherlands: 20160482,"Sep 1, 2016","Sep 20, 2016",8999.98,MAX-99572-2016-0360 -- Karcher Multi Vac Display - Jul 2016,Net Cost (Calc Margin),012i0000001EB0nAAG,642856,0,Externally Managed,,14,CPM,3,Per campaign,Display - Frequency booster,30-54,Male
0063100000fJjBHAA0,Netherlands: 20160069,"Jan 25, 2016","Feb 14, 2016",8434.54,2016.Stage_BEAUTY_AND_THE BEAST_OLV.JAN/FEB,Net Cost (Calc Margin),012i0000001EB0nAAG,624781,0,Externally Managed,,13.5,CPM,3,Per campaign,Video - Preroll 20s,20-34,Female
0063100000fJjBpAAK,Netherlands: 20160014,"Jan 4, 2016","Jan 24, 2016",11657.75,2016.FC.MONA.01.AVMX-1.0,Net Cost (Calc Margin),012i0000001EB0nAAG,863537,0,Externally Managed,,13.5,CPM,3,Per campaign,Video - Preroll 20s,25-55,Female
0063100000fJjBuAAK,Netherlands: 20160002,"Jan 4, 2016","Feb 7, 2016",90613.25,70% van het aantal impressies uitleveren in contactbuckets 3-5. Retargeting pixels BC plaatsen.,Net Cost (Calc Margin),012i0000001EB0nAAG,6472375,0,Externally Managed,,14,CPM,,,Display - Frequency booster,20-34,Female
0063100000fJj9CAAS,Netherlands: 20160478,"Aug 28, 2016","Sep 20, 2016",1377,"Desktop en Tablet. Alleen live op zondag tussen 00:00 - 12:00 uur op basis van een cap van 3 per dag! : Arts&Entertainment_Music en Hobbies&Interests_Radio / Interest, Predicted Interest en Intent / High, Medium en Low",Net Cost (Calc Margin),012i0000001EB0nAAG,500727,0,Externally Managed,,2.75,CPM,3,Per campaign,Display - Standard,,
0063100000fJjAEAA0,Netherlands: 20160193,"May 2, 2016","May 22, 2016",11684.5,Doelgroep nagevraagd,Net Cost (Calc Margin),012i0000001EB0nAAG,834607,0,Externally Managed,,14,CPM,3,Per campaign,Display - Frequency booster,35-54,Male
0063100000fJjAqAAK,Netherlands: 20160022,"Jan 25, 2016","Feb 7, 2016",5751,Mustang Jan-Feb,Net Cost (Calc Margin),012i0000001EB0nAAG,383400,0,Externally Managed,,15,CPM,3,Per campaign,Video - Preroll 30s,25-35,
0063100000fJjCHAA0,Netherlands: 20160059,"Feb 15, 2016","Mar 6, 2016",26571.06,2016.BOL.KenW.AVM-1.0,Net Cost (Calc Margin),012i0000001EB0nAAG,1968227,0,Externally Managed,,13.5,CPM,3,Per campaign,Video - Preroll 20s,20-34,
0063100000fJjBnAAK,Netherlands: 20160008,"Jan 1, 2016","Jan 10, 2016",6342.26,Let op: cap hanteren van 1 per campagne (Project MEC van Esther en Frank).,Net Cost (Calc Margin),012i0000001EB0nAAG,469797,0,Externally Managed,,13.5,CPM,1,Per campaign,Video - Preroll 20s,25-55,Female
0063100000fJjAuAAK,Netherlands: 20160319,"May 23, 2016","Jun 12, 2016",19263.59,8-6: outstream toegevoegd,Net Cost (Calc Margin),012i0000001EB0nAAG,1284239,0,Externally Managed,,15,CPM,3,Per campaign,Video - Preroll 30s,25-45,
0063100000fJjCGAA0,Netherlands: 20160120,"Mar 11, 2016","Mar 23, 2016",2420,MAX-105454-2016-0053 -- BigBen - Hitman Launch - Feb-Oct,Net Cost (Calc Margin),012i0000001EB0nAAG,403333,0,Externally Managed,,6,CPM,3,Per campaign,Mobile - Halfpage ad,18-35,Male
0063100000fJj9AAAS,Netherlands: 20160380,"Jun 10, 2016","Jul 9, 2016",4250,MAX-132034-2016-0297 -- Byron Bay,Net Cost (Calc Margin),012i0000001EB0nAAG,340000,0,Externally Managed,"Combi Video pakket; 50% van de impressies op Desktop en 50% van de impressies op Mobile In-app. Voor beide devices een cap van 3 hanteren. Hoge druk op don/vrij/zat & lichte druk op zon-woe. (Sturing op weer, hogere druk op zonnige dagen.) 24-6: campagne tot 30-6 on hold, daarna max leveren",12.5,CPM,3,Per campaign,Video - Preroll 20s,20-40,Female
0063100000fJj9kAAC,Netherlands: 20160184,"Apr 4, 2016","May 3, 2016",6749.84,Activia Fusion AV Challenge,Net Cost (Calc Margin),012i0000001EB0nAAG,499988,0,Externally Managed,,13.5,CPM,3,Per campaign,Video - Preroll 20s,25-40,Female
0063100000fJjBMAA0,Netherlands: 20160381,"Jun 13, 2016","Jun 29, 2016",10316.63,Verlengd tot de 29e,Net Cost (Calc Margin),012i0000001EB0nAAG,764195,0,Externally Managed,,13.5,CPM,3,Per campaign,Video - Preroll 20s,25-54,Female
0063100000fJj9cAAC,Netherlands: 20160314,"May 17, 2016","Jun 5, 2016",3600,MAX-128858-2016-0227 -- Zalando OLV - NL-BE Wallonia - May June 2016 -SS16 flight 3,Net Cost (Calc Margin),012i0000001EB0nAAG,180000,0,Externally Managed,Gelijkmatige uitlevering van de impressies over de dagen. De hosting van de video vindt plaats in het Xaxis account. De trackers van Zalando worden verwerkt door GroupM Traffic tezamen met de trackers van Maxus-Helder.  Xaxis plaatst dan weer de trackers van GroupM in het Xaxis account zodat alle 3 de partijen mee kunnen meten.,20,CPM,3,Per campaign,Video - Preroll 20s,20-39,Female
0063100000fJjAhAAK,Netherlands: 20160347,"Jun 6, 2016","Jun 24, 2016",500,- desktop + tablet web,Net Cost (Calc Margin),012i0000001EB0nAAG,181818,0,Externally Managed,,2.75,CPM,5,Per campaign,Display - Standard,25-55,
0063100000fJjC5AAK,Netherlands: 20160155,"Mar 7, 2016","Mar 20, 2016",4320,Geenstijl en Dumper excluden.,Net Cost (Calc Margin),012i0000001EB0nAAG,320000,0,Externally Managed,,13.5,CPM,2,Per campaign,Video - Preroll 20s,20-34,Female
