External_ID__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,RecordTypeId,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Opp_Buy_Description__c,Rate__c,Buy_Type__c,CloseDate,Frequency_Cap__c,Frequency_Scope__c,Id,Special_Product__c,StartDate,Target_Age_Freeform_Entry__c,Target_Gender__c
Netherlands Reference number: 20160376,4573.97,GEPL volgt nog,Net Cost (Calc Margin),012i0000001EB0nAAG,609863,0,Externally Managed,,7.5,CPM,"Jun 30, 2016",1,Per campaign,0063100000fJYauAAG,Mobile - Interstitial smartphone,"Jun 2, 2016",30-55,
Netherlands Reference number: 20160377,2548.5,GEPL volgt nog,Net Cost (Calc Margin),012i0000001EB0nAAG,254850,0,Externally Managed,,10,CPM,"Jun 30, 2016",1,Per campaign,0063100000fJYauAAG,Mobile - Interstitial tablet,"Jun 2, 2016",30-55,
Netherlands Reference number: 20150832,4000,"Focus op Entertainment, Nieuws en Sport umfelt OF Interesse Sport Movies Music. Uitsluiten MAC gebruikers. Optimalisatie op viewability 70%.",Net Cost (Calc Margin),012i0000001EB0nAAG,1454545,0,Externally Managed,,2.75,CPM,"Jan 13, 2016",5,Per campaign,0063100000fJYaUAAW,Xaxis Display,"Dec 16, 2015",18-35,
Netherlands Reference number: 20150833,5319,"Focus op Entertainment, Nieuws en Sport umfelt OF Interesse Sport Movies Music. Uitsluiten MAC gebruikers. Optimalisatie op viewability 70%.",Net Cost (Calc Margin),012i0000001EB0nAAG,354600,0,Externally Managed,,15,CPM,"Jan 13, 2016",3,Per campaign,0063100000fJYaUAAW,Xaxis Display,"Dec 16, 2015",18-35,
Netherlands Reference number: 20160366,0,Jaguar_Land_Rover_Nederland_B.V._(NLD)_F-Pace_Online_Juni_2016,Net Cost (Calc Margin),012i0000001EB0nAAG,0,0,Externally Managed,,0,CPM,"Jun 30, 2016",,,0063100000fJYavAAG,,"Jun 2, 2016",,
Netherlands Reference number: 20150834,7075,"Focus op Entertainment, Nieuws en Sport umfelt. Enkel uitlevering op Android devices.",Net Cost (Calc Margin),012i0000001EB0nAAG,1179167,0,Externally Managed,,6,CPM,"Jan 13, 2016",3,Per campaign,0063100000fJYaVAAW,Xaxis Mobile,"Dec 16, 2015",18-35,
Netherlands Reference number: 20160034,19040,2016.VIMN.COMEDYCENTRAL.0102.OLV-1.0,Net Cost (Calc Margin),012i0000001EB0nAAG,1655652,0,Externally Managed,,11.5,CPM,"Feb 21, 2016",3,Per campaign,0063100000fJYawAAG,Mobile - Video,"Jan 18, 2016",18-34,
Netherlands Reference number: 20150842,10383.6,Campagnes HPA & BB koppelen in Bright,Net Cost (Calc Margin),012i0000001EB0nAAG,692240,0,Externally Managed,,15,CPM,"Jan 30, 2016",3,Per campaign,0063100000fJYaWAAW,Xaxis Display,"Dec 15, 2015",30-55,
Netherlands Reference number: 20150843,10383.6,Campagnes HPA & BB koppelen in Bright,Net Cost (Calc Margin),012i0000001EB0nAAG,830688,0,Externally Managed,,12.5,CPM,"Jan 30, 2016",3,Per campaign,0063100000fJYaWAAW,Xaxis Display,"Dec 15, 2015",30-55,
Netherlands Reference number: 20150844,13748.58,Tempur Display NL - Dec,Net Cost (Calc Margin),012i0000001EB0nAAG,1018413,0,Externally Managed,,13.5,CPM,"Jan 24, 2016",3,Per campaign,0063100000fJYaWAAW,Xaxis TV,"Dec 28, 2015",30-55,
Netherlands Reference number: 20160282,16250.01,Inzet week 17: 27-4 t/m 1-5. Week 18: 5-5 t/m 8-5. Week 19: 12-5 t/m 16-5. Week 21: 26-5 t/m 29-5.,Net Cost (Calc Margin),012i0000001EB0nAAG,928572,0,Externally Managed,,17.5,CPM,"May 16, 2016",1,Per week,0063100000fJYaxAAG,Rich Media - Skin,"Apr 25, 2016",20-49,Female
Netherlands Reference number: 20160283,4152.59,Inzet week 17: 27-4 t/m 1-5. Week 18: 5-5 t/m 8-5. Week 19: 12-5 t/m 16-5. Week 21: 26-5 t/m 29-5.,Net Cost (Calc Margin),012i0000001EB0nAAG,553678,0,Externally Managed,,7.5,CPM,"May 16, 2016",1,Per week,0063100000fJYaxAAG,Mobile - Interstitial smartphone,"Apr 25, 2016",20-49,Female
Netherlands Reference number: 20160100,8633.34,"Uitzendinstructies:
KPN                                      9 t/m 14 februari
T-mobile & Vodafone   15 t/m 28 februari (alternerend)",Net Cost (Calc Margin),012i0000001EB0nAAG,639507,0,Externally Managed,,13.5,CPM,"Feb 28, 2016",3,Per campaign,0063100000fJYaXAAW,Video - Preroll 20s,"Feb 8, 2016",20-35,
Netherlands Reference number: 20160177,58934.97,"Activity tag meedraaien op de click, zodat we een audience discovery kunnen doen aan het eind van de campagne en ze wellicht verrassen’.",Net Cost (Calc Margin),012i0000001EB0nAAG,4365553,0,Externally Managed,,13.5,CPM,"Apr 3, 2016",3,Per campaign,0063100000fJYayAAG,Video - Preroll 20s,"Mar 14, 2016",20-34,
Netherlands Reference number: 20160099,7499.99,Huawei MateS Display - Feb-Mar 2016,Net Cost (Calc Margin),012i0000001EB0nAAG,428571,0,Externally Managed,,17.5,CPM,"Mar 13, 2016",3,Per campaign,0063100000fJYaYAAW,Rich Media - Skin,"Feb 12, 2016",20-49,
