Opportunity__c,External_Id__c,Product_Detail__C,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,RecordTypeId,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Media_Code__c
0063100000fkOmrAAE,NordicOrderID:30039,Xaxis TV,2016-10-06 12:00:00,2016-10-12 12:00:00,35855,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,"M30-60 + bolig (Spotlaengde: 30 sek) Frek 1/spot, start kl. 18 6/10",Video
0063100000fkOOWAA2,NordicOrderID:18189,Xaxis TV,2016-06-20 12:00:00,2016-07-06 12:00:00,35924,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Xaxis - Retargeting,Video
0063100000fkOSBAA2,NordicOrderID:12029,Xaxis TV,2016-02-01 12:00:00,2016-03-13 12:00:00,36000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Semantisk targeting,Video
0063100000fkOPMAA2,NordicOrderID:28022,Xaxis TV,2016-05-01 12:00:00,2016-08-31 12:00:00,36000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,"contextual, lookalike, behavorial",Video
0063100000fkOgMAAU,NordicOrderID:18758,Xaxis TV,2016-07-01 12:00:00,2016-08-31 12:00:00,36000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Retargeting,Video
0063100000fkOYaAAM,NordicOrderID:18800,Xaxis TV,2016-07-07 12:00:00,2016-12-31 12:00:00,36000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,innovation og forretningsudvik,Video
0063100000fkOPzAAM,NordicOrderID:19591,Xaxis TV,2016-09-12 12:00:00,2016-09-25 12:00:00,36000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,"Dynamic Allocation, Audience segment: Miljo og Gron Energi",Video
0063100000fkOPkAAM,NordicOrderID:32034,Xaxis TV,2016-10-01 12:00:00,2016-12-31 12:00:00,36000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
0063100000fkONVAA2,NordicOrderID:38725,Xaxis TV,2016-10-24 12:00:00,2016-11-13 12:00:00,36000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Tog i midt+vestjylland,Video
0063100000fkOaqAAE,NordicOrderID:19840,Xaxis TV,2016-09-22 12:00:00,2016-09-28 12:00:00,36095,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,M30-60 + bolig (spotlaengde:30 sek) Frek 1 pr uge,Video
