Market,Agency__c,Forecast_Month__c,Forecast_Year__c,Forecast__c,CurrencyIsoCode,Forecast_Type__c,Forecast_Quarter__c,Business_Unit__c,Forecast_Level__c
Slovakia,a003100000fHjHwAAK,Nov,2016,153485.4,USD,Cartesis,Q3RF 2016,Xaxis,Market
Slovakia,a003100000fHjHwAAK,Dec,2016,76469.25,USD,Cartesis,Q3RF 2016,Xaxis,Market
Netherlands,a00i000000GIJlDAAX,Jan,2016,959372.5,USD,Cartesis,Q3RF 2016,Xaxis,Market
Netherlands,a00i000000GIJlDAAX,Feb,2016,861382.6,USD,Cartesis,Q3RF 2016,Xaxis,Market
Netherlands,a00i000000GIJlDAAX,Mar,2016,913017.5,USD,Cartesis,Q3RF 2016,Xaxis,Market
Netherlands,a00i000000GIJlDAAX,Apr,2016,872634.5,USD,Cartesis,Q3RF 2016,Xaxis,Market
Netherlands,a00i000000GIJlDAAX,May,2016,1095446,USD,Cartesis,Q3RF 2016,Xaxis,Market
Netherlands,a00i000000GIJlDAAX,Jun,2016,835187.6,USD,Cartesis,Q3RF 2016,Xaxis,Market
Netherlands,a00i000000GIJlDAAX,Jul,2016,709055.2,USD,Cartesis,Q3RF 2016,Xaxis,Market
Netherlands,a00i000000GIJlDAAX,Aug,2016,775938.9,USD,Cartesis,Q3RF 2016,Xaxis,Market
Netherlands,a00i000000GIJlDAAX,Sep,2016,1043462,USD,Cartesis,Q3RF 2016,Xaxis,Market
Netherlands,a00i000000GIJlDAAX,Oct,2016,1084343,USD,Cartesis,Q3RF 2016,Xaxis,Market
Netherlands,a00i000000GIJlDAAX,Nov,2016,1495493,USD,Cartesis,Q3RF 2016,Xaxis,Market
Netherlands,a00i000000GIJlDAAX,Dec,2016,1485924,USD,Cartesis,Q3RF 2016,Xaxis,Market
Czech Republic,a00i000000GIJl8AAH,Jan,2016,53505.2,USD,Cartesis,Q3RF 2016,Xaxis,Market
Czech Republic,a00i000000GIJl8AAH,Feb,2016,89859.74,USD,Cartesis,Q3RF 2016,Xaxis,Market
Czech Republic,a00i000000GIJl8AAH,Mar,2016,103990.9,USD,Cartesis,Q3RF 2016,Xaxis,Market
Czech Republic,a00i000000GIJl8AAH,Apr,2016,166836.4,USD,Cartesis,Q3RF 2016,Xaxis,Market
Czech Republic,a00i000000GIJl8AAH,May,2016,186080.5,USD,Cartesis,Q3RF 2016,Xaxis,Market
Czech Republic,a00i000000GIJl8AAH,Jun,2016,168124.7,USD,Cartesis,Q3RF 2016,Xaxis,Market
Czech Republic,a00i000000GIJl8AAH,Jul,2016,72266.24,USD,Cartesis,Q3RF 2016,Xaxis,Market
Czech Republic,a00i000000GIJl8AAH,Aug,2016,67475.33,USD,Cartesis,Q3RF 2016,Xaxis,Market
Czech Republic,a00i000000GIJl8AAH,Sep,2016,166071.4,USD,Cartesis,Q3RF 2016,Xaxis,Market
Czech Republic,a00i000000GIJl8AAH,Oct,2016,190267.5,USD,Cartesis,Q3RF 2016,Xaxis,Market
Czech Republic,a00i000000GIJl8AAH,Nov,2016,288796.6,USD,Cartesis,Q3RF 2016,Xaxis,Market
Czech Republic,a00i000000GIJl8AAH,Dec,2016,151240.7,USD,Cartesis,Q3RF 2016,Xaxis,Market
Russia,a00i000000QyKQfAAN,Jun,2016,1315.152,USD,Cartesis,Q3RF 2016,plista,Market
Russia,a00i000000QyKQfAAN,Jul,2016,17003.03,USD,Cartesis,Q3RF 2016,plista,Market
Russia,a00i000000QyKQfAAN,Aug,2016,11350.31,USD,Cartesis,Q3RF 2016,plista,Market
Russia,a00i000000QyKQfAAN,Sep,2016,68147.47,USD,Cartesis,Q3RF 2016,plista,Market
Russia,a00i000000QyKQfAAN,Oct,2016,136359.3,USD,Cartesis,Q3RF 2016,plista,Market
Russia,a00i000000QyKQfAAN,Nov,2016,18616,USD,Cartesis,Q3RF 2016,plista,Market
Russia,a00i000000QyKQfAAN,Dec,2016,23186.59,USD,Cartesis,Q3RF 2016,plista,Market
Switzerland,a00i000000cw2wxAAA,Jan,2016,143657,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Switzerland,a00i000000cw2wxAAA,Feb,2016,205158,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Switzerland,a00i000000cw2wxAAA,Mar,2016,275283,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Switzerland,a00i000000cw2wxAAA,Apr,2016,251678,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Switzerland,a00i000000cw2wxAAA,May,2016,360999,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Switzerland,a00i000000cw2wxAAA,Jun,2016,394701,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Switzerland,a00i000000cw2wxAAA,Jul,2016,175639,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Switzerland,a00i000000cw2wxAAA,Aug,2016,218284,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Switzerland,a00i000000cw2wxAAA,Sep,2016,424343,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Switzerland,a00i000000cw2wxAAA,Oct,2016,519791,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Switzerland,a00i000000cw2wxAAA,Nov,2016,327919,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Switzerland,a00i000000cw2wxAAA,Dec,2016,283605,USD,Cartesis,Q3RF 2016,Light Reaction,Market
UK,a00i0000003u6duAAA,Jan,2016,11124.35,USD,Cartesis,Q3RF 2016,Light Reaction,Market
